url,site_lot_id,actual_bid,opening_date,ending_date,minimal_increment,lot_status,brand,model,year,appraisal_value,location
https://www.lut.com.br//lote/veiculo-ford-corcel/83950,83950,"R$ 1.500,00",26/03/2021,30/04/2021 09:30:00,"R$ 100,00",Fechado,Ford,CORCEL,defabricação1975,"R$ 3.000,00",SÃO CAETANO DO SUL/SP
https://www.lut.com.br//lote/veiculotoyota-corolla-xei-vvt/84427,84427,"R$ 2.021,31",14/04/2021,29/04/2021 15:15:00,"R$ 150,00",Fechado,Toyota,COROLLA XEI 18 VVT 2004/2005,Not found,"R$ 20.213,16",São Paulo/SP
https://www.lut.com.br//lote/motocicleta-dafra-kansas/83917,83917,"R$ 1.461,00",25/03/2021,29/04/2021 10:30:00,"R$ 100,00",Fechado,Dafra,DAFRA KANSAS,fabricação2008,"R$ 2.922,00",BARRINHA/SP
https://www.lut.com.br//lote/motocicleta-honda-c-dream/84268,84268,"R$ 1.386,60",08/04/2021,29/04/2021 10:30:00,"R$ 100,00",Fechado,Honda,HONDA C100 DREAM,1997,"R$ 2.311,00",INDAIATUBA/SP
https://www.lut.com.br//lote/motocicleta-yamaha-fazer-ys/83914,83914,"R$ 3.600,00",25/03/2021,29/04/2021 10:00:00,"R$ 150,00",Fechado,Yamaha,YAMAHA FAZER YS250,Not found,"R$ 6.000,00",SÃO JOSÉ DOS CAMPOS/SP
https://www.lut.com.br//lote/veiculo-gm-corsa-sedan-premium-ano/83733,83733,"R$ 10.885,80",19/03/2021,29/04/2021 10:16:16,"R$ 150,00",Fechado,Not Found,CORSA SEDAN PREMIUM ANO 2007/2008,2007,,Praia Grande/SP
https://www.lut.com.br//lote/veiculo-ford-del-rey/83915,83915,"R$ 1.099,50",25/03/2021,29/04/2021 10:00:00,"R$ 100,00",Fechado,Ford,FORD DEL REY,1984,"R$ 2.199,00",SÃO JOSÉ DOS CAMPOS/SP
https://www.lut.com.br//lote/motocicleta-yamaha-fazer-ys/83914,83914,"R$ 3.600,00",25/03/2021,29/04/2021 10:00:00,"R$ 150,00",Fechado,Yamaha,YAMAHA FAZER YS250,Not found,"R$ 6.000,00",SÃO JOSÉ DOS CAMPOS/SP
https://www.lut.com.br//lote/veiculo-chevrolet-zafira-elite/83888,83888,"R$ 14.214,50",24/03/2021,28/04/2021 09:30:00,"R$ 1.000,00",Fechado,Chevrolet,CHEVROLET ZAFIRA ELITE,2009,"R$ 28.429,00",SÃO PAULO/SP
https://www.lut.com.br//lote/veiculo-chevrolet-celta/83622,83622,"R$ 7.000,00",24/04/2021,27/04/2021 10:30:00,"R$ 250,00",Fechado,Chevrolet,CHEVROLET CELTA,2006,"R$ 7.000,00",MOGI DAS CRUZES/SP
https://www.lut.com.br//lote/veiculo-peugeot/83609,83609,"R$ 15.500,00",24/04/2021,27/04/2021 10:00:00,"R$ 1.000,00",Fechado,Peugeot,307,2004,"R$ 15.500,00",ARAÇATUBA/SP
